OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-6300,-300,14479,19571,2608,13525,19850,0,7225,19550,0
-6000,-300,13378,16459,1328,11125,17450,0,5125,17150,0
-6000,-300,13550,18740,2294,12925,19850,0,6925,19550,0
-5700,-300,13222,16413,1300,10975,17450,0,5275,17150,0
-5700,-300,13233,16550,1412,11125,17450,0,5425,17150,0
-5700,-300,13452,16433,1741,11275,17450,0,5575,17150,0
-5700,-300,13194,16677,2172,10825,16850,0,5125,16550,0
-5700,-300,13494,18522,2159,12775,19250,0,7075,18950,0
-5400,-300,13089,16693,2159,12475,17450,0,7075,17150,0
-5100,-300,13484,18596,1855,12625,19250,0,7525,18950,0
-5100,-300,13533,18271,1734,10525,19250,0,5425,18950,0
-5100,-300,13062,16722,2281,12475,17450,0,7375,17150,0
-5100,-300,14258,19764,2424,12175,21650,0,7075,21350,0
-5100,-300,14233,19685,2468,12025,21650,0,6925,21350,0
-4800,-300,13036,16693,1769,10975,17450,0,6175,17150,0
-4800,-300,13115,16613,1927,11425,17450,0,6625,17150,0
-4800,-300,13947,19513,2327,12325,21050,0,7525,20750,0
-4800,-300,13435,18373,1926,12925,19250,0,8125,18950,0
-4800,-300,13939,19449,2413,12175,21050,0,7375,20750,0
-4800,-300,13548,18740,2041,13225,19850,0,8425,19550,0
-4800,-300,13549,18622,2005,12625,19250,0,7825,18950,0
-4800,-300,13527,18377,1934,12775,19250,0,7975,18950,0
-4500,-300,13074,16142,1827,8725,16850,0,4225,16550,0
-4500,-300,13063,16649,1843,10975,17450,0,6475,17150,0
-4500,-300,13530,18560,1872,12025,19850,0,7525,19550,0
-4500,-300,13959,16857,2922,13225,16850,0,8725,16550,0
-4500,-300,13205,16905,2141,10375,17450,0,5875,17150,0
-4500,-300,14000,19571,2352,12475,21050,0,7975,20750,0
-4500,-300,14067,19561,2335,12325,21050,0,7825,20750,0
-4500,-300,14274,19680,2379,12475,21650,0,7975,21350,0
-4500,-300,13647,18993,2164,13075,19850,0,8575,19550,0
-4500,-300,14017,19459,2441,12025,21050,0,7525,20750,0
-4500,-300,13431,18076,2040,12775,18650,0,8275,18350,0
-4500,-300,14037,19470,2514,12775,20450,0,8275,20150,0
-4200,-300,13150,16690,1923,10975,17450,0,6775,17150,0
-4200,-300,13526,18825,2177,13675,20450,0,9475,20150,0
-4200,-300,13716,19174,2499,13225,19250,0,9025,18950,0
-4200,-300,13595,18566,1935,11875,19850,0,7675,19550,0
-4200,-300,14120,19537,2372,12175,21050,0,7975,20750,0
-4200,-300,14102,19629,2416,12325,21050,0,8125,20750,0
-4200,-300,13746,19157,2256,13375,20450,0,9175,20150,0
-4200,-300,13551,18573,2071,11725,19250,0,7525,18950,0
-4200,-300,13401,18321,2143,12925,18650,0,8725,18350,0
-4200,-300,13323,17797,2168,12475,18650,0,8275,18350,0
-4200,-300,14037,19520,2486,12025,21050,0,7825,20750,0
-4200,-300,13924,19180,2364,10975,21050,0,6775,20750,0
-4200,-300,13124,17101,2092,9625,18650,0,5425,18350,0
-4200,-300,14116,19483,2545,12625,20450,0,8425,20150,0
-4200,-300,13966,19258,2370,11125,21050,0,6925,20750,0
-4200,-300,13783,18897,2351,12625,19850,0,8425,19550,0
-3900,-300,13877,16991,987,13375,16250,0,9475,15950,0
-3900,-300,13179,17021,1995,12325,16850,0,8425,16550,0
-3900,-300,13062,16676,1929,10525,17450,0,6625,17150,0
-3900,-300,13943,19350,1978,13075,19850,0,9175,19550,0
-3900,-300,13452,18516,1869,12775,19250,0,8875,18950,0
-3900,-300,13263,17688,2146,11575,18050,0,7675,17750,0
-3900,-300,13566,18672,1967,13075,19850,0,9175,19550,0
-3900,-300,13561,18801,2138,12775,19850,0,8875,19550,0
-3900,-300,13644,18634,1950,12925,19850,0,9025,19550,0
-3900,-300,13226,17121,2116,12025,17450,0,8125,17150,0
-3900,-300,13644,18915,2246,10825,20450,0,6925,20150,0
-3900,-300,13674,18986,2297,13375,20450,0,9475,20150,0
-3900,-300,14177,19646,2438,12175,21050,0,8275,20750,0
-3900,-300,13833,19266,2195,13525,20450,0,9625,20150,0
-3900,-300,14075,19398,2375,12325,21050,0,8425,20750,0
-3900,-300,13209,17147,2139,12325,17450,0,8425,17150,0
-3900,-300,13436,18363,2059,13375,18650,0,9475,18350,0
-3900,-300,13672,18928,2354,13225,20450,0,9325,20150,0
-3900,-300,14109,19561,2499,11875,21050,0,7975,20750,0
-3900,-300,14065,19664,2410,10825,21050,0,6925,20750,0
-3900,-300,14076,19509,2511,11725,21050,0,7825,20750,0
-3900,-300,13448,17616,1976,8725,18650,0,4825,18350,0
-3900,-300,13515,17704,2152,13075,18650,0,9175,18350,0
-3600,-300,12965,16333,1652,10975,17450,0,7375,17150,0
-3600,-300,13012,16338,1740,11125,17450,0,7525,17150,0
-3600,-300,13396,16995,1625,12925,17450,0,9325,17150,0
-3600,-300,13108,17053,2226,15475,17450,0,11875,17150,0
-3600,-300,13702,17330,1596,13975,17450,0,10375,17150,0
-3600,-300,14156,19405,1955,13225,19850,0,9625,19550,0
-3600,-300,13592,17948,1742,12625,18650,0,9025,18350,0
-3600,-300,13480,18796,2219,13675,20450,0,10075,20150,0
-3600,-300,13414,18426,2035,13525,19250,0,9925,18950,0
-3600,-300,13520,17919,1829,12475,18650,0,8875,18350,0
