OFFSET_X,OFFSET_Y,SSLOC_X,SSLOC_Y,SSLOC_Z,SRC_X,SRC_Y,SRC_Z,RCV_X,RCV_Y,RCV_Z
-6600,-300,13269,16680,2175,8575,14450,0,1975,14150,0
-6600,-300,12897,16658,1712,10375,17450,0,3775,17150,0
-6600,-300,13114,17213,1803,10825,17450,0,4225,17150,0
-6600,-300,13627,17924,1559,11575,18050,0,4975,17750,0
-6600,-300,13264,17227,1963,10525,17450,0,3925,17150,0
-6600,-300,13790,18533,1409,9925,18650,0,3325,18350,0
-6600,-300,13236,16732,1907,11575,17450,0,4975,17150,0
-6600,-300,13676,17072,2972,7075,16250,0,475,15950,0
-6600,-300,13529,18264,2317,8575,19250,0,1975,18950,0
-6300,-300,12842,17043,1861,7075,14450,0,775,14150,0
-6300,-300,13087,17254,1950,10975,17450,0,4675,17150,0
-6300,-300,13003,17362,2028,10675,18050,0,4375,17750,0
-6300,-300,13166,17601,1832,11125,18650,0,4825,18350,0
-6300,-300,13028,17324,1811,10525,18050,0,4225,17750,0
-6300,-300,13235,18077,1769,10825,19250,0,4525,18950,0
-6300,-300,13465,18752,1899,11275,19850,0,4975,19550,0
-6300,-300,13499,18124,1941,11275,19250,0,4975,18950,0
-6300,-300,13873,18649,1528,9025,20450,0,2725,20150,0
-6300,-300,13912,19690,2257,11725,21650,0,5425,21350,0
-6300,-300,13265,17351,1973,10975,18050,0,4675,17750,0
-6300,-300,13669,18824,2592,9475,20450,0,3175,20150,0
-6300,-300,14213,18993,3003,10975,20450,0,4675,20150,0
-6000,-300,13033,17248,2015,10525,17450,0,4525,17150,0
-6000,-300,13748,16672,1469,10825,17450,0,4825,17150,0
-6000,-300,13193,16352,1230,11125,17450,0,5125,17150,0
-6000,-300,13104,17274,1996,10975,17450,0,4975,17150,0
-6000,-300,14018,17145,1687,9925,18050,0,3925,17750,0
-6000,-300,13164,17280,2106,10825,17450,0,4825,17150,0
-6000,-300,13169,17393,1950,10675,18050,0,4675,17750,0
-6000,-300,13466,16774,2745,10975,18050,0,4975,17750,0
-6000,-300,13263,17457,2047,11425,18050,0,5425,17750,0
-6000,-300,13798,17469,2172,11725,18050,0,5725,17750,0
-6000,-300,13296,17406,2048,10975,18050,0,4975,17750,0
-6000,-300,13452,18720,2041,11425,19250,0,5425,18950,0
-6000,-300,13497,18798,1976,11275,19850,0,5275,19550,0
-6000,-300,13108,17153,2571,9025,18650,0,3025,18350,0
-6000,-300,13697,18916,2203,12025,20450,0,6025,20150,0
-6000,-300,13821,19188,2110,11125,20450,0,5125,20150,0
-6000,-300,13843,17648,2896,9925,19850,0,3925,19550,0
-6000,-300,13820,17770,2858,10375,19850,0,4375,19550,0
-6000,-300,13717,18008,2837,10825,19250,0,4825,18950,0
-6000,-300,13681,18014,2456,10675,19250,0,4675,18950,0
-6000,-300,13179,16227,2358,7525,17450,0,1525,17150,0
-6000,-300,13826,18990,2602,10525,20450,0,4525,20150,0
-6000,-300,14007,19577,2716,10975,21050,0,4975,20750,0
-5700,-300,13003,16724,1605,8275,16250,0,2575,15950,0
-5700,-300,12964,16168,2044,10375,16850,0,4675,16550,0
-5700,-300,13326,16046,1775,11425,17450,0,5725,17150,0
-5700,-300,13742,16718,1904,12175,18050,0,6475,17750,0
-5700,-300,13167,17285,2139,10975,17450,0,5275,17150,0
-5700,-300,13477,16391,2953,9325,18050,0,3625,17750,0
-5700,-300,13868,18010,1589,10375,19250,0,4675,18950,0
-5700,-300,13207,17318,2077,10075,18050,0,4375,17750,0
-5700,-300,13166,17137,2466,8575,18050,0,2875,17750,0
-5700,-300,13650,19448,2189,11725,21050,0,6025,20750,0
-5700,-300,13091,17158,2556,9025,19250,0,3325,18950,0
-5700,-300,13978,19751,2561,11575,21650,0,5875,21350,0
-5700,-300,12998,16436,2085,6475,18650,0,775,18350,0
-5700,-300,13864,17871,2961,10375,19850,0,4675,19550,0
-5700,-300,13647,18366,2684,9925,20450,0,4225,20150,0
-5700,-300,13944,19294,2551,9325,21050,0,3625,20750,0
-5700,-300,13334,16957,2419,11275,18050,0,5575,17750,0
-5700,-300,13883,18270,2702,11575,19850,0,5875,19550,0
-5400,-300,12946,16156,1947,10075,16850,0,4675,16550,0
-5400,-300,13395,18190,1879,10225,19250,0,4825,18950,0
-5100,-300,13038,17677,2405,6475,16250,0,1375,15950,0
-5100,-300,13406,16154,2600,10675,16850,0,5575,16550,0
-5100,-300,13387,16079,2687,9775,16850,0,4675,16550,0
-5100,-300,13948,17573,1450,10375,18650,0,5275,18350,0
-5100,-300,13312,15935,2477,9325,18050,0,4225,17750,0
-5100,-300,12926,17496,1899,9475,18650,0,4375,18350,0
-5100,-300,13229,17442,2029,10225,18050,0,5125,17750,0
-5100,-300,13372,18752,1962,10075,19850,0,4975,19550,0
-5100,-300,13540,17479,2856,10525,18650,0,5425,18350,0
-5100,-300,13618,19096,2320,11575,20450,0,6475,20150,0
-5100,-300,13426,17304,2648,9625,18050,0,4525,17750,0
-5100,-300,12617,17462,1489,8125,21050,0,3025,20750,0
-5100,-300,13500,18029,2494,9925,19250,0,4825,18950,0
-5100,-300,14064,19378,2643,11425,21050,0,6325,20750,0
-5100,-300,13657,19265,2237,6475,21050,0,1375,20750,0
-5100,-300,14032,19728,2873,10975,21650,0,5875,21350,0
-5100,-300,13519,18404,2140,6475,21050,0,1375,20750,0
-5100,-300,14085,19071,3039,10225,20450,0,5125,20150,0
-5100,-300,13735,17967,2899,9925,19850,0,4825,19550,0
-5100,-300,13893,18354,3046,9775,20450,0,4675,20150,0
-5100,-300,13906,18245,3029,9325,20450,0,4225,20150,0
-5100,-300,13561,17577,2647,10675,18650,0,5575,18350,0
-5100,-300,13558,19037,2305,6475,20450,0,1375,20150,0
-5100,-300,14124,19421,2675,10075,21650,0,4975,21350,0
-5100,-300,14112,19738,3011,9025,21650,0,3925,21350,0
-4800,-300,12831,16415,1429,9925,17450,0,5125,17150,0
-4800,-300,13122,16909,2230,5875,16250,0,1075,15950,0
-4800,-300,13393,16117,2742,9925,16850,0,5125,16550,0
-4800,-300,13949,17368,2952,10225,18050,0,5425,17750,0
-4800,-300,13161,17581,1964,9625,18650,0,4825,18350,0
-4800,-300,13617,17339,2914,9775,18050,0,4975,17750,0
-4800,-300,13482,17204,2986,8275,18050,0,3475,17750,0
-4800,-300,13540,18717,2053,10375,19250,0,5575,18950,0
-4800,-300,13432,17345,2698,9625,18050,0,4825,17750,0
-4800,-300,13410,17290,2656,9175,18050,0,4375,17750,0
